"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrichment"
"GO:0046348","GO:0046348","amino sugar catabolic process","8/454","15/16910",1.38525991890206e-09,5.86796101646912e-06,4.709883724267e-06,"NPL/ALDH1A1/AMDHD2/RENBP/GNPDA1/CHI3L1/CHIT1/CHI3L2",8,19.8649045521292
"GO:0071294","GO:0071294","cellular response to zinc ion","8/454","20/16910",2.40895392212866e-08,4.91740377518548e-05,3.94692465430374e-05,"P2RX4/MT2A/MT1X/MT1G/MT1H/MT1E/MT1M/MT1F",8,14.8986784140969
"GO:0097066","GO:0097066","response to thyroid hormone","9/454","29/16910",4.16122249941908e-08,4.91740377518548e-05,3.94692465430374e-05,"CTSS/CTSB/CTSL/GCLC/ACE/C2/HES1/THRB/GCLM",9,11.5593194592131
"GO:0010043","GO:0010043","response to zinc ion","11/454","49/16910",5.3750053013756e-08,4.91740377518548e-05,3.94692465430374e-05,"SOD2/P2RX4/MT2A/VCAM1/HAMP/MT1X/MT1G/MT1H/MT1E/MT1M/MT1F",11,8.361503191585
"GO:0055094","GO:0055094","response to lipoprotein particle","9/454","30/16910",5.80430096221138e-08,4.91740377518548e-05,3.94692465430374e-05,"CD68/APOE/CD36/PPARG/LPL/NPC1/CES1/ADTRP/LDLR",9,11.1740088105727
"GO:0016042","GO:0016042","lipid catabolic process","28/454","327/16910",6.97175947485019e-08,4.92206218924424e-05,3.95066370241511e-05,"PLA2G7/CYP27A1/LIPA/ASAH1/MGLL/APOC1/APOE/FUCA1/GM2A/HSD17B4/HSD17B14/PLD1/LPL/IDH1/PLBD2/CYP1B1/DAGLA/CES1/APOA2/ADTRP/THRA/APOC3/ALK/LDLR/PLA2G2D/HPGD/ENPP2/PNPLA3",28,3.18931953818588
"GO:0006040","GO:0006040","amino sugar metabolic process","10/454","42/16910",1.20101965417577e-07,7.26788465012654e-05,5.83352403456805e-05,"NPL/ALDH1A1/AMDHD2/RENBP/GNPDA1/CHST7/CHI3L1/CHIT1/UAP1L1/CHI3L2",10,8.86826096077197
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","9/454","33/16910",1.45649251291101e-07,7.35968351293989e-05,5.90720584135874e-05,"CD68/APOE/CD36/PPARG/LPL/NPC1/CES1/ADTRP/LDLR",9,10.1581898277934
"GO:0050900","GO:0050900","leukocyte migration","30/454","382/16910",1.60185940777084e-07,7.35968351293989e-05,5.90720584135874e-05,"PLA2G7/LGMN/LGALS3/MPP1/CCL18/CMKLR1/HSD3B7/TNFRSF14/P2RX4/CXCL12/HMOX1/VCAM1/SLAMF8/CXCL2/CCR1/IL1R1/CXCL3/LYVE1/HRH1/IL10/CSF1/ADTRP/CXCL9/CCL24/ECM1/ITGA7/SLAMF1/SAA1/CRTAM/GCSAM",30,2.925133196485
"GO:0006826","GO:0006826","iron ion transport","11/454","55/16910",1.90911782147959e-07,7.35968351293989e-05,5.90720584135874e-05,"FTH1/FTL/SLC40A1/MCOLN1/ABCC5/TFRC/HAMP/FLVCR2/SLC48A1/SLC46A1/HFE",11,7.44933920704846
"GO:0010038","GO:0010038","response to metal ion","29/454","364/16910",1.91115483102783e-07,7.35968351293989e-05,5.90720584135874e-05,"LGMN/CALM3/SLC40A1/MCOLN1/KCNMA1/SOD2/FABP4/TFRC/MMP9/GCLC/P2RX4/MT2A/HMOX1/VCAM1/HAMP/ITPKB/MT1X/NPC1/BNIP3/MT1G/NQO1/MT1H/MT1E/CRHBP/MT1M/KCNMB4/HFE/MT1F/KCNJ10",29,2.96745655225831
"GO:0071248","GO:0071248","cellular response to metal ion","20/454","198/16910",3.99054456646952e-07,0.000140866223196374,0.000113065429383303,"LGMN/SLC40A1/MCOLN1/FABP4/MMP9/P2RX4/MT2A/HMOX1/ITPKB/MT1X/BNIP3/MT1G/NQO1/MT1H/MT1E/CRHBP/MT1M/HFE/MT1F/KCNJ10",20,3.76229252881235
"GO:0007568","GO:0007568","aging","18/454","164/16910",4.46094115191364e-07,0.000145358051688509,0.00011667076858851,"CD68/CTSC/SOD2/TIMP1/TFRC/GCLC/ACE/SERPING1/KMO/VCAM1/HAMP/ADM/NQO1/GCLM/IGF1R/IL10/P2RY1/CDKN2B",18,4.08805200386806
"GO:0071404","GO:0071404","cellular response to low-density lipoprotein particle stimulus","8/454","29/16910",6.63513739128657e-07,0.000200760299924928,0.000161139050931245,"CD68/CD36/PPARG/LPL/NPC1/CES1/ADTRP/LDLR",8,10.2749506304117
