"","names","scores","logfoldchanges","pvals","pvals_adj","logp","Celltype"
"1448","CHEMBL3989977|EMAPALUMAB",-13.145059,-8.038549,1.81665654847085e-39,8.7299448282116e-39,38.0589885009541,"other"
"1313","CHEMBL1201044|DAPIPRAZOLE HYDROCHLORIDE",-5.5592036,-7.914463,2.7100812223493e-08,6.99246695133586e-08,7.155369577568,"other"
"1476","CHEMBL1201608|MUROMONAB-CD3",-34.581577,-7.3569717,4.78104830646881e-262,1.53874265231878e-260,259.812834007864,"other"
"1478","CHEMBL2108581|CATUMAXOMAB",-35.47974,-7.2039385,1.00945317755972e-275,3.57843836566821e-274,273.44630645859,"other"
"1243","CHEMBL437765|RIFAMYCIN",-4.0543303,-7.194274,5.02781690466492e-05,0.000116458713530402,3.93382801166689,"other"
"1311","CHEMBL1201535|PHENYLPROPANOLAMINE POLISTIREX",-5.54168,-7.1795444,2.99583282413304e-08,7.7134811450836e-08,7.11274957773413,"other"
"1312","CHEMBL1200695|PHENYLPROPANOLAMINE HYDROCHLORIDE",-5.54168,-7.1795444,2.99583282413304e-08,7.7134811450836e-08,7.11274957773413,"other"
"1325","CHEMBL836|TAMSULOSIN",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1326","CHEMBL1723|ALFUZOSIN HYDROCHLORIDE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1327","CHEMBL1200461|MIDODRINE HYDROCHLORIDE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1328","CHEMBL3989562|TERAZOSIN HYDROCHLORIDE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1329","CHEMBL2062262|METARAMINOL BITARTRATE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1330","CHEMBL2062264|PHENYLEPHRINE BITARTRATE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1331","CHEMBL1200914|TAMSULOSIN HYDROCHLORIDE",-5.818817,-7.055217,5.92655181489899e-09,1.57227177215216e-08,7.80347238263212,"other"
"1462","CHEMBL2105717|CABOZANTINIB",-23.128027,-6.784681,2.41944555531515e-118,2.52904437106874e-117,116.597043551066,"other"
"1463","CHEMBL1289601|LENVATINIB",-23.128027,-6.784681,2.41944555531515e-118,2.52904437106874e-117,116.597043551066,"other"
"1464","CHEMBL1171837|PONATINIB",-23.128027,-6.784681,2.41944555531515e-118,2.52904437106874e-117,116.597043551066,"other"
"1465","CHEMBL221959|TOFACITINIB",-23.128027,-6.784681,2.41944555531515e-118,2.52904437106874e-117,116.597043551066,"other"
"1477","CHEMBL1742992|BLINATUMOMAB",-34.782013,-6.6240177,4.5499801422455e-265,1.52455499012774e-263,262.816856906177,"other"
"1270","CHEMBL566315|OBETICHOLIC ACID",-4.5929904,-6.4076324,4.369393609296e-06,1.05399770890907e-05,4.977160333155,"other"
"1475","CHEMBL1201571|ALEFACEPT",-28.047176,-6.139546,4.3242152797342e-173,6.56958420759618e-172,171.182462116294,"other"
"1467","CHEMBL535|SUNITINIB",-23.751202,-5.9385614,1.06777952872782e-124,1.160794989897e-123,122.935244475023,"other"
